county,year,all_crimes,all_index_crimes,person_index_crimes,property_index_crimes,all_person_crimes,all_property_crimes,all_behavior_crimes,aggravated_assault,arson,burglary,curfew,disorderly_conduct,drugs,duii,embezzlement,family,forgery,fraud,gambling,kidnapping,larceny,liquor,motor_vehicle_theft,murder,negligent_homicide,other_behavior,other_sex_crimes,prostitution,rape,robbery,runaway,simple_assault,stolen_property,vandalism,weapons,all_crimes_rate
State,2000,172247,33132,3850,29282,23452,40300,108495,2288,567,3486,3529,6658,20793,23644,85,944,3097,1623,19,163,23092,19696,2704,111,14,27119,1676,829,304,1147,2928,17749,568,5078,2336,5020.2
State,2001,169117,32830,4022,28808,22647,39807,106663,2452,633,3617,3608,6763,20321,23319,82,1109,3183,1616,20,137,22569,19120,2622,113,18,26774,1676,370,328,1129,2973,16794,516,4969,2286,4873.4
State,2002,156491,31110,3500,27610,19493,37576,99422,2140,574,3387,2813,7242,20127,22549,80,1219,2650,1595,4,143,21265,17021,2958,87,13,23160,1451,283,276,997,2818,14386,490,4577,2186,4468.1
State,2003,164414,34136,4011,30125,21327,40832,102255,2440,536,3564,2433,7760,20968,21762,70,1126,2559,1727,9,132,23628,18167,2933,103,12,24802,1617,388,331,1137,2639,15555,595,5220,2201,4646.4
State,2004,181878,38134,5267,32867,24496,43764,113618,3372,524,3977,2807,9117,26046,22009,106,1012,2600,2064,5,92,25614,19205,3276,132,12,27211,1644,871,330,1433,2652,17481,613,4990,2683,5081.6
State,2005,165960,33991,4962,29029,22316,39389,104255,3437,457,3393,2625,7692,25124,19521,82,908,2113,1994,10,52,22668,17788,2968,140,12,24998,1701,659,321,1064,2504,15589,777,4937,2426,4575.8
State,2006,166328,31154,4925,26229,21664,36583,108081,3414,509,3159,2965,8349,24076,20948,80,951,1517,1900,16,55,20944,19876,2126,119,14,25532,1571,693,312,1080,2321,15099,800,5548,2354,4513.3
State,2007,168068,32519,5180,27339,21578,37732,108758,3547,463,3202,2923,8540,22744,21767,60,1072,1544,1934,9,45,21985,21407,2152,97,8,25347,1628,516,321,1215,2191,14717,725,5667,2242,4494.7
State,2008,158815,34420,5267,29153,22592,39127,97096,3619,494,3212,1833,7908,21526,19144,85,928,1214,1996,7,66,24286,19656,1655,101,10,21327,1785,767,301,1246,1857,15464,448,5737,2143,4196.7
State,2009,152404,30595,4644,25951,20424,34491,97489,3131,405,2658,2090,9644,19320,19158,41,940,907,1792,4,103,21999,19389,1294,73,18,22721,1591,663,271,1169,1766,14068,432,4963,1794,3994.1
State,2010,149764,31437,4676,26761,19287,35434,95043,3325,287,2693,2077,11055,20459,18608,61,629,908,1927,3,56,22220,16608,1848,90,19,21656,1505,283,243,1018,1723,13031,392,5098,1942,3895.9
State,2011,149964,29954,4425,25529,19173,33809,96982,3203,254,2623,1460,11141,23810,19260,36,667,847,1846,5,52,21339,14381,1567,71,15,22204,1679,335,235,916,1713,13002,388,4909,2006,3887.4
State,2012,139996,29543,4157,25386,17176,33139,89681,2804,238,2428,1037,10691,21856,17251,34,614,839,1923,2,36,21172,13760,1786,73,21,20804,1514,381,227,1053,1401,11448,456,4263,1884,3604.7
